,Time,Category,Seasonally_Adj,VS,NO,UO,TI,MPCVS,MPCNO,MPCUO,MPCTI
0,1992-01,MDM,yes,117958,,471297,242159,,,,
1,1992-01,MDM,no,106893,,477445,239750,,,,
2,1992-01,DXT,yes,85783,,194865,171640,,,,
3,1992-01,DXT,no,77279,,197103,170139,,,,
4,1992-01,DXD,yes,108968,,305561,211086,,,,
5,1992-01,DXD,no,99535,,308374,209206,,,,
6,1992-01,MTU,yes,85081,,471297,198103,,,,
7,1992-01,MTU,no,76624,,477445,195857,,,,
8,1992-01,31S,yes,9924,,17998,16961,,,,
9,1992-01,31S,no,9767,,18224,16953,,,,
10,1992-01,32S,yes,13104,,31219,25698,,,,
11,1992-01,32S,no,12138,,31297,25605,,,,
12,1992-01,33S,yes,14623,,40073,36225,,,,
13,1992-01,33S,no,13013,,40434,35990,,,,
14,1992-01,34S,yes,22394,,86541,45630,,,,
15,1992-01,34S,no,19172,,88041,44848,,,,
16,1992-01,CRP,yes,5083,,6767,9490,,,,
17,1992-01,CRP,no,3895,,6767,9365,,,,
18,1992-01,34X,yes,3404,,11979,5790,,,,
19,1992-01,34X,no,2715,,12216,5753,,,,
20,1992-01,35S,yes,6436,,12830,12811,,,,
21,1992-01,35S,no,5553,,12958,12529,,,,
22,1992-01,36S,yes,32175,,276432,70519,,,,
23,1992-01,36S,no,29614,,280342,69611,,,,
24,1992-01,MVP,yes,19589,,11961,17894,,,,
25,1992-01,MVP,no,19501,,12281,17874,,,,
26,1992-01,NAP,yes,4951,,133946,25290,,,,
27,1992-01,NAP,no,3900,,135072,24830,,,,
28,1992-01,DAP,yes,3375,,54774,18156,,,,
29,1992-01,DAP,no,2719,,54985,17864,,,,
30,1992-01,ODG,yes,19302,,6204,34315,,,,
31,1992-01,ODG,no,17636,,6149,34214,,,,
32,1992-01,TCG,yes,45846,,332781,124568,,,,
33,1992-01,TCG,no,39517,,338116,122827,,,,
34,1992-01,NDE,yes,38011,,183484,98058,,,,
35,1992-01,NDE,no,32992,,185215,96554,,,,
36,1992-01,NXA,yes,35110,,90711,79455,,,,
37,1992-01,NXA,no,30614,,91182,78405,,,,
38,1992-01,DEF,yes,7835,,149297,26510,,,,
39,1992-01,DEF,no,6525,,152901,26273,,,,
40,1992-02,MDM,yes,119895,114535,468468,241142,1.6,,-0.6,-0.4
41,1992-02,MDM,no,122878,118429,475601,241650,15.0,,-0.4,0.8
42,1992-02,DXT,yes,85586,82931,194741,170946,-0.2,,-0.1,-0.4
43,1992-02,DXT,no,85995,84643,198356,171452,11.3,,0.6,0.8
44,1992-02,DXD,yes,110649,106189,303632,210503,1.5,,-0.6,-0.3
45,1992-02,DXD,no,113576,110799,308202,211190,14.1,,-0.1,0.9
46,1992-02,MTU,yes,85693,82864,468468,196859,0.7,,-0.6,-0.6
47,1992-02,MTU,no,87439,85595,475601,196977,14.1,,-0.4,0.6
48,1992-02,31S,yes,9926,9777,17849,16813,0.0,,-0.8,-0.9
49,1992-02,31S,no,10413,10703,18514,16802,6.6,,1.6,-0.9
50,1992-02,32S,yes,13653,13385,30951,25791,4.2,,-0.9,0.4
51,1992-02,32S,no,13936,13971,31332,25912,14.8,,0.1,1.2
52,1992-02,33S,yes,14236,14202,40039,35846,-2.6,,-0.1,-1.0
53,1992-02,33S,no,14559,14906,40781,36070,11.9,,0.9,0.2
54,1992-02,34S,yes,21884,19538,86726,45339,-2.3,,0.2,-0.6
55,1992-02,34S,no,21267,19063,88442,45196,10.9,,0.5,0.8
56,1992-02,CRP,yes,4974,4943,6736,9326,-2.1,,-0.5,-1.7
57,1992-02,CRP,no,4432,4401,6736,9410,13.8,,-0.5,0.5
58,1992-02,34X,yes,3191,3286,12074,5655,-6.3,,0.8,-2.3
59,1992-02,34X,no,2965,3004,12255,5709,9.2,,0.3,-0.8
60,1992-02,35S,yes,6340,6199,12689,12851,-1.5,,-1.1,0.3
61,1992-02,35S,no,6404,6390,12944,12889,15.3,,-0.1,2.9
62,1992-02,36S,yes,34309,31604,273727,70196,6.6,,-1.0,-0.5
63,1992-02,36S,no,36883,33786,277245,70198,24.5,,-1.1,0.8
64,1992-02,MVP,yes,20956,20849,11854,17765,7.0,,-0.9,-0.7
65,1992-02,MVP,no,23485,23624,12420,18066,20.4,,1.1,1.1
66,1992-02,NAP,yes,5633,4230,132543,25219,13.8,,-1.0,-0.3
67,1992-02,NAP,no,5479,4269,133862,25088,40.5,,-0.9,1.0
68,1992-02,DAP,yes,3427,2794,54141,18142,1.5,,-1.2,-0.1
69,1992-02,DAP,no,3496,2531,54020,18057,28.6,,-1.8,1.1
70,1992-02,ODG,yes,19547,19830,6487,34306,1.3,,4.6,0.0
71,1992-02,ODG,no,19416,19610,6343,34583,10.1,,3.2,1.1
72,1992-02,TCG,yes,45542,43251,330490,123424,-0.7,,-0.7,-0.9
73,1992-02,TCG,no,45254,42560,335422,123299,14.5,,-0.8,0.4
74,1992-02,NDE,yes,37394,35981,182071,97434,-1.6,,-0.8,-0.6
75,1992-02,NDE,no,37032,36194,184377,97403,12.2,,-0.5,0.9
76,1992-02,NXA,yes,33899,33857,90669,78973,-3.4,,0.0,-0.6
77,1992-02,NXA,no,33575,34095,91702,79028,9.7,,0.6,0.8
78,1992-02,DEF,yes,8148,7270,148419,25990,4.0,,-0.6,-2.0
79,1992-02,DEF,no,8222,6366,151045,25896,26.0,,-1.2,-1.4
80,1992-03,MDM,yes,124897,120025,466222,242116,4.2,4.8,-0.5,0.4
81,1992-03,MDM,no,133930,129309,473766,241580,9.0,9.2,-0.4,0.0
82,1992-03,DXT,yes,89292,85725,193800,172378,4.3,3.4,-0.5,0.8
83,1992-03,DXT,no,95107,91363,197398,171852,10.6,7.9,-0.5,0.2
84,1992-03,DXD,yes,115979,113354,303633,211337,4.8,6.7,0.0,0.4
85,1992-03,DXD,no,124460,121005,307533,210819,9.6,9.2,-0.2,-0.2
86,1992-03,MTU,yes,88670,86424,466222,197677,3.5,4.3,-0.5,0.4
87,1992-03,MTU,no,95889,94054,473766,197220,9.7,9.9,-0.4,0.1
88,1992-03,31S,yes,10245,10283,17887,18335,3.2,5.2,0.2,9.1
89,1992-03,31S,no,10776,11420,19158,18246,3.5,6.7,3.5,8.6
90,1992-03,32S,yes,13950,13542,30543,25658,2.2,1.2,-1.3,-0.5
91,1992-03,32S,no,14523,14238,31047,25973,4.2,1.9,-0.9,0.2
92,1992-03,33S,yes,15446,15050,39643,35610,8.5,6.0,-1.0,-0.7
